"","end","country","load"
"6433",2020-03-04,"France",1612816
"6434",2020-03-05,"France",1561540
"6435",2020-03-06,"France",1590620
"6436",2020-03-07,"France",1451503
"6437",2020-03-08,"France",1348894
"6438",2020-03-09,"France",1505125
"6439",2020-03-10,"France",1504531
"6440",2020-03-11,"France",1388071
"6441",2020-03-12,"France",1384265
"6442",2020-03-13,"France",1411543
"6443",2020-03-14,"France",1301967
"6444",2020-03-15,"France",1200440
"6445",2020-03-16,"France",1341977
"6446",2020-03-17,"France",1141303
"6447",2020-03-18,"France",1196594
"6448",2020-03-19,"France",1135302
"6449",2020-03-20,"France",1108610
"6450",2020-03-21,"France",1086993
"6451",2020-03-22,"France",1101612
"6452",2020-03-23,"France",1187294
"6453",2020-03-24,"France",1217858
"6454",2020-03-25,"France",1239180
"6455",2020-03-26,"France",1261895
"6456",2020-03-27,"France",1236075
"6457",2020-03-28,"France",1124326
"6458",2020-03-29,"France",1153972
"6459",2020-03-30,"France",1326587
"6460",2020-03-31,"France",1294628
"6461",2020-04-01,"France",1254282
"6462",2020-04-02,"France",1250611
"6463",2020-04-03,"France",1214139
"6464",2020-04-04,"France",1097635
"6465",2020-04-05,"France",999364
"6466",2020-04-06,"France",1065935
"6467",2020-04-07,"France",1068840
"6468",2020-04-08,"France",1036636
"6469",2020-04-09,"France",1007455
"6470",2020-04-10,"France",978048
"6471",2020-04-11,"France",916963
"6472",2020-04-12,"France",884878
"6473",2020-04-13,"France",905278
"6474",2020-04-14,"France",1020439
"6475",2020-04-15,"France",1050553
"6476",2020-04-16,"France",1028648
"6477",2020-04-17,"France",994991
"6478",2020-04-18,"France",919418
"6479",2020-04-19,"France",894836
"6480",2020-04-20,"France",996752
"6481",2020-04-21,"France",1019511
"6482",2020-04-22,"France",1024206
"6483",2020-04-23,"France",1020113
"6484",2020-04-24,"France",994257
"6485",2020-04-25,"France",910642
"6486",2020-04-26,"France",893408
"6487",2020-04-27,"France",997298
"6488",2020-04-28,"France",1024403
"6489",2020-04-29,"France",1035885
"6490",2020-04-30,"France",1041672
"6491",2020-05-01,"France",942581
"6492",2020-05-02,"France",954786
"6493",2020-05-03,"France",921128
"6494",2020-05-04,"France",1010725
"6495",2020-05-05,"France",1022237
"6496",2020-05-06,"France",1015039
"6497",2020-05-07,"France",1009597
"6498",2020-05-08,"France",913954
"6499",2020-05-09,"France",895946
"6500",2020-05-10,"France",876377
"6501",2020-05-11,"France",1046181
"6502",2020-05-12,"France",1096130
"6503",2020-05-13,"France",1114453
"6504",2020-05-14,"France",1109802
"6505",2020-05-15,"France",1085134
"6506",2020-05-16,"France",970585
"6507",2020-05-17,"France",911209
"6508",2020-05-18,"France",1027663
"6509",2020-05-19,"France",1029349
"6510",2020-05-20,"France",1023046
"6511",2020-05-21,"France",917610
"6512",2020-05-22,"France",951628
"6513",2020-05-23,"France",901359
"6514",2020-05-24,"France",865354
"6515",2020-05-25,"France",1006972
"6516",2020-05-26,"France",1031303
"6517",2020-05-27,"France",1028672
"6518",2020-05-28,"France",1023640
"6519",2020-05-29,"France",1007872
"6520",2020-05-30,"France",907144
"6521",2020-05-31,"France",852547
"6522",2020-06-01,"France",895309
"6523",2020-06-02,"France",1038304
"6524",2020-06-03,"France",1051032
"6525",2020-06-04,"France",1045508
"6526",2020-06-05,"France",1026797
"6527",2020-06-06,"France",917477
"6528",2020-06-07,"France",880008
"6529",2020-06-08,"France",1026375
"6530",2020-06-09,"France",1060035
"6531",2020-06-10,"France",1073582
"6532",2020-06-11,"France",1070451
"6533",2020-06-12,"France",1052339
"6534",2020-06-13,"France",935763
"6535",2020-06-14,"France",887949
"6536",2020-06-15,"France",1032681
"6537",2020-06-16,"France",1058651
"6538",2020-06-17,"France",1054362
"6539",2020-06-18,"France",1053901
"6540",2020-06-19,"France",1033504
"6541",2020-06-20,"France",936978
"6542",2020-06-21,"France",848187
"6543",2020-06-22,"France",1054009
"6544",2020-06-23,"France",1074712
"6545",2020-06-24,"France",1097486
"6546",2020-06-25,"France",1113054
"6547",2020-06-26,"France",1082774
"6548",2020-06-27,"France",944065
"6549",2020-06-28,"France",898600
"6550",2020-06-29,"France",1051640
"6551",2020-06-30,"France",1060157
"6552",2020-07-01,"France",1103259
"6553",2020-07-02,"France",1090019
"6554",2020-07-03,"France",1070524
"6555",2020-07-04,"France",950302
"6556",2020-07-05,"France",917876
"6557",2020-07-06,"France",1068099
"6558",2020-07-07,"France",1210217
"6559",2020-07-08,"France",1112913
"6560",2020-07-09,"France",1131945
"6561",2020-07-10,"France",1103322
"6562",2020-07-11,"France",967770
"6563",2020-07-12,"France",911820
"6564",2020-07-13,"France",1022225
"6565",2020-07-14,"France",960005
"6566",2020-07-15,"France",1086857
"6567",2020-07-16,"France",1101107
"6568",2020-07-17,"France",1100441
"6569",2020-07-18,"France",981699
"6570",2020-07-19,"France",929847
"6571",2020-07-20,"France",1090538
"6572",2020-07-21,"France",1116665
"6573",2020-07-22,"France",1116651
"6574",2020-07-23,"France",1128002
"6575",2020-07-24,"France",1102690
"6576",2020-07-25,"France",979788
"6577",2020-07-26,"France",925025
"6578",2020-07-27,"France",1084835
"6579",2020-07-28,"France",1101628
"6580",2020-07-29,"France",1115803
"6581",2018-01-02,"UK",1881568
"6582",2018-01-03,"UK",1908197
"6583",2018-01-04,"UK",1953115
"6584",2018-01-05,"UK",1961919
"6585",2018-01-06,"UK",1863243
"6586",2018-01-07,"UK",1830362
"6587",2018-01-08,"UK",2082586
"6588",2018-01-09,"UK",2075707
"6589",2018-01-10,"UK",2009738
"6590",2018-01-11,"UK",2019087
"6591",2018-01-12,"UK",2025489
"6592",2018-01-13,"UK",1836938
"6593",2018-01-14,"UK",1814543
"6594",2018-01-15,"UK",1950348
"6595",2018-01-16,"UK",2016384
"6596",2018-01-17,"UK",2045548
"6597",2018-01-18,"UK",2037437
"6598",2018-01-19,"UK",2036437
"6599",2018-01-20,"UK",1899692
"6600",2018-01-21,"UK",1907699
"6601",2018-01-22,"UK",1956327
"6602",2018-01-23,"UK",1915373
"6603",2018-01-24,"UK",1920882
"6604",2018-01-25,"UK",1943445
"6605",2018-01-26,"UK",1953398
"6606",2018-01-27,"UK",1771389
"6607",2018-01-28,"UK",1686602
"6608",2018-01-29,"UK",1861592
"6609",2018-01-30,"UK",1964366
"6610",2018-01-31,"UK",1951841
"6611",2018-02-01,"UK",1988310
"6612",2018-02-02,"UK",1957084
"6613",2018-02-03,"UK",1884938
"6614",2018-02-04,"UK",1820079
"6615",2018-02-05,"UK",2049082
